MATERIAL_ID,MATERIAL_TYPE,ORIGINAL_CODE,ORIGINAL_COST,ALT_RANK,ALT_CODE,ALT_DESC,ALT_COST_MAT,ALT_COST_INST,ALT_COST_TOTAL,COST_REDUCTION_PCT
1,Interior Door,2500,1231.0,0,2500,"wood solid core birch 3'-0""x7'-0""x1 3/8""",970,261.0,1231.0,0.0
1,Interior Door,2500,1231.0,1,2530,"wood Hollow core lauan 3'-0""x7'-0""x1 3/8""",545,250.0,795.0,35.41835905767668
1,Interior Door,2500,1231.0,2,2510,"wood Hollow core nan 3'-0""x7'-0""x1 3/8""",575,250.0,825.0,32.98131600324939
1,Interior Door,2500,1231.0,3,2550,"wood Hollow core Paneled pine 3'-0""x7'-0""x1 3/8""",735,250.0,985.0,19.983753046303818
2,Exterior Door,5800,14800.0,0,5800,"St. Stl. & glass balanced 3'-0"" x 7'-0""",13000,1800.0,14800.0,0.0
2,Exterior Door,5800,14800.0,1,6200,"Alum. & Fbrgls. overhead 12'-0"" x 12'-0""",2975,930.0,3905.0,73.61486486486486
2,Exterior Door,5800,14800.0,2,8300,"Alum. & glass sliding patio 12'-0"" x 7'-0""",4975,465.0,5440.0,63.24324324324324
2,Exterior Door,5800,14800.0,3,6250,"Alum. & Fbrgls. overhead 12'-0"" x 12'-0""",4225,1275.0,5500.0,62.83783783783784
3,Interior Door,2530,795.0,0,2530,"wood Hollow core lauan 3'-0""x7'-0""x1 3/8""",545,250.0,795.0,0.0
4,Interior Door,2530,795.0,0,2530,"wood Hollow core lauan 3'-0""x7'-0""x1 3/8""",545,250.0,795.0,0.0
6,Interior Door,2530,795.0,0,2530,"wood Hollow core lauan 3'-0""x7'-0""x1 3/8""",545,250.0,795.0,0.0
7,Interior Door,2530,795.0,0,2530,"wood Hollow core lauan 3'-0""x7'-0""x1 3/8""",545,250.0,795.0,0.0
9,Interior Door,2530,795.0,0,2530,"wood Hollow core lauan 3'-0""x7'-0""x1 3/8""",545,250.0,795.0,0.0
10,Interior Door,2530,795.0,0,2530,"wood Hollow core lauan 3'-0""x7'-0""x1 3/8""",545,250.0,795.0,0.0
11,Interior Door,2530,795.0,0,2530,"wood Hollow core lauan 3'-0""x7'-0""x1 3/8""",545,250.0,795.0,0.0
12,Interior Door,2530,795.0,0,2530,"wood Hollow core lauan 3'-0""x7'-0""x1 3/8""",545,250.0,795.0,0.0
13,Interior Door,2530,795.0,0,2530,"wood Hollow core lauan 3'-0""x7'-0""x1 3/8""",545,250.0,795.0,0.0
14,Interior Door,2530,795.0,0,2530,"wood Hollow core lauan 3'-0""x7'-0""x1 3/8""",545,250.0,795.0,0.0
16,Interior Door,2530,795.0,0,2530,"wood Hollow core lauan 3'-0""x7'-0""x1 3/8""",545,250.0,795.0,0.0
18,Interior Door,2530,795.0,0,2530,"wood Hollow core lauan 3'-0""x7'-0""x1 3/8""",545,250.0,795.0,0.0
20,Interior Door,2530,795.0,0,2530,"wood Hollow core lauan 3'-0""x7'-0""x1 3/8""",545,250.0,795.0,0.0
21,Exterior Door,5800,14800.0,0,5800,"St. Stl. & glass balanced 3'-0"" x 7'-0""",13000,1800.0,14800.0,0.0
21,Exterior Door,5800,14800.0,1,6200,"Alum. & Fbrgls. overhead 12'-0"" x 12'-0""",2975,930.0,3905.0,73.61486486486486
21,Exterior Door,5800,14800.0,2,8300,"Alum. & glass sliding patio 12'-0"" x 7'-0""",4975,465.0,5440.0,63.24324324324324
21,Exterior Door,5800,14800.0,3,6250,"Alum. & Fbrgls. overhead 12'-0"" x 12'-0""",4225,1275.0,5500.0,62.83783783783784
22,Exterior Door,5800,14800.0,0,5800,"St. Stl. & glass balanced 3'-0"" x 7'-0""",13000,1800.0,14800.0,0.0
22,Exterior Door,5800,14800.0,1,6200,"Alum. & Fbrgls. overhead 12'-0"" x 12'-0""",2975,930.0,3905.0,73.61486486486486
22,Exterior Door,5800,14800.0,2,8300,"Alum. & glass sliding patio 12'-0"" x 7'-0""",4975,465.0,5440.0,63.24324324324324
22,Exterior Door,5800,14800.0,3,6250,"Alum. & Fbrgls. overhead 12'-0"" x 12'-0""",4225,1275.0,5500.0,62.83783783783784
