MATERIAL_ID,MATERIAL_TYPE,DESCRIPTION,WIDTH,HEIGHT,AREA_SQFT,QUANTITY,RSMEANS_CODE,RSMEANS_DESC,UNIT_COST_MAT,UNIT_COST_INST,UNIT_COST_TOTAL,TOTAL_COST_MAT,TOTAL_COST_INST,TOTAL_COST
W2,Window,(1) CASEMENT (1) FIXED (2) FIXED BOTTOM,"5'-0""","6'-0""",30.0,95.0,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,130625.0,32300.0,162925.0
W3,Window,(1) CASEMENT (1) FIXED (2) FIXED BOTTOM,"5'-0""","6'-0""",30.0,85.0,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,116875.0,28900.0,145775.0
W4,Window,(2) CASEMENT (1) FIXED (3) FIXED BOTTOM,"8'-0""","6'-0""",48.0,46.0,4050,"Wood casement 7'-11"" x 6'-3""",2000,410,2410,92000.0,18860.0,110860.0
W4.1,Window,(2) CASEMENT (1) FIXED (3) FIXED BOTTOM,"8'-0""","6'-0""",48.0,4.0,4050,"Wood casement 7'-11"" x 6'-3""",2000,410,2410,8000.0,1640.0,9640.0
W7,Window,(1) CASEMENT (2) FIXED (3) FIXED BOTTOM,"7'-6""","6'-0""",42.0,36.0,4050,"Wood casement 7'-11"" x 6'-3""",2000,410,2410,72000.0,14760.0,86760.0
W7.1,Window,(1) CASEMENT (2) FIXED (3) FIXED BOTTOM,"8'-0""","6'-0""",48.0,25.0,4050,"Wood casement 7'-11"" x 6'-3""",2000,410,2410,50000.0,10250.0,60250.0
W10,Window,(1) CASEMENT (1) FIXED (2) FIXED BOTTOM,"4'-6""","6'-0""",24.0,5.0,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,4425.0,2250.0,6675.0
W11,Window,(1) CASEMENT (1) FIXED (2) FIXED BOTTOM,"4'-6""","6'-0""",24.0,11.0,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,9735.0,4950.0,14685.0
W14,Window,SLIDING GLASS DOOR,"8'-0""","8'-0""",64.0,102.0,3300,"Wood sliding 5'-4"" x 6'-0""",680,330,1010,69360.0,33660.0,103020.0
W14.1,Window,SLIDING GLASS DOOR,"8'-0""","8'-0""",64.0,4.0,3300,"Wood sliding 5'-4"" x 6'-0""",680,330,1010,2720.0,1320.0,4040.0
W16,Window,(2) FIXED (2) FIXED BOTTOM,"5'-0""","6'-0""",30.0,4.0,4600,Wood fixed bay 8' x 5',2275,625,2900,9100.0,2500.0,11600.0
