MATERIAL_ID,MATERIAL_TYPE,ORIGINAL_CODE,ORIGINAL_COST,ALT_RANK,ALT_CODE,ALT_DESC,ALT_COST_MAT,ALT_COST_INST,ALT_COST_TOTAL,COST_REDUCTION_PCT,FUNCTIONAL_SCORE,DESIGN_SCORE,COST_SCORE,WEIGHTED_SCORE
W2,Window,4000,1715,0,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,0.0,5,5,1,5.0
W3,Window,4000,1715,0,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,0.0,5,5,1,5.0
W4,Window,4050,2410,0,4050,"Wood casement 7'-11"" x 6'-3""",2000,410,2410,0.0,5,5,1,5.0
W4.1,Window,4050,2410,0,4050,"Wood casement 7'-11"" x 6'-3""",2000,410,2410,0.0,5,5,1,5.0
W7,Window,4050,2410,0,4050,"Wood casement 7'-11"" x 6'-3""",2000,410,2410,0.0,5,5,1,5.0
W7.1,Window,4050,2410,0,4050,"Wood casement 7'-11"" x 6'-3""",2000,410,2410,0.0,5,5,1,5.0
W10,Window,7650,1335,0,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,0.0,5,5,1,5.0
W11,Window,7650,1335,0,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,0.0,5,5,1,5.0
W14,Window,3300,1010,0,3300,"Wood sliding 5'-4"" x 6'-0""",680,330,1010,0.0,5,5,1,5.0
W14.1,Window,3300,1010,0,3300,"Wood sliding 5'-4"" x 6'-0""",680,330,1010,0.0,5,5,1,5.0
W16,Window,4600,2900,0,4600,Wood fixed bay 8' x 5',2275,625,2900,0.0,5,5,1,5.0
