DIVISION	KEYNOTE	ITEM DESCRIPTION	B.O.D. (BASIS OF DESIGN) / MANUFACTURER	COLOR / FINISH	NOTES	
04 - MASONRY	4.1	ADHERED BRICK VENEER (THICK SET METHOD)	MANUFACTURER & COLOR - TBD (CLIENT SELECTION)			
05 - METALS	5.1	EXTERIOR ROOF ACCESS LADDER	O'KEEFFE'S 503A ACCESS LADDER W/ LADDER GUARD	PREFINISHED TO MATCH PARAPET COPING	PARAPET ACCESS LADDER COMPLIANT WITH IMC SECTION 306.5	
05 - METALS	5.2	PRE-FABRICATED, SUSPENDED METAL BALCONY SYSTEM	INNOTECH MANUFACTURING, LLC	CHARCOAL GRAY		
05 - METALS	5.2A	PRE-FABRICATED METAL JULIET BALCONY SYSTEM	FAIRWAY ARCHITECTURAL RAILING SOLUTIONS	CHARCOAL GRAY		
05 - METALS	5.3	42" HEIGHT METAL GUARD RAIL SYSTEM WITH VERTICAL BALUSTERS SPACED AT 4" O.C. MAX.		CHARCOAL GRAY		
05 - METALS	5.4	42" HEIGHT METAL GUARD RAIL SYSTEM WITH HORIZONTAL BALUSTERS SPACED AT 4" O.C. MAX.		CHARCOAL GRAY		

07 - THERMAL AND MOISTURE PROTECTION	7.1	FIBER CEMENT PANEL W/ PREFINISHED ALUMINUM REVEALS / TRIM SYSTEM – VERTICAL H-CHANNEL PROFILE	JAMES HARDIE, 5/16" FIBER CEMENT PANEL, SMOOTH FINISH (EASYTRIM, ENGAGE BUILDING PRODUCTS)	STATEMENT COLLECTION, PEARL GRAY (PANEL AND TRIMS)		
07 - THERMAL AND MOISTURE PROTECTION	7.1A	FIBER CEMENT PANEL W/ PREFINISHED ALUMINUM REVEALS / TRIM SYSTEM – VERTICAL H-CHANNEL PROFILE	JAMES HARDIE, 5/16" FIBER CEMENT PANEL, SMOOTH FINISH (EASYTRIM, ENGAGE BUILDING PRODUCTS)	STATEMENT COLLECTION, MIDNIGHT BLACK (PANEL AND TRIMS)		
07 - THERMAL AND MOISTURE PROTECTION	7.2	FIBER CEMENT PANEL ALUMINUM REVEAL TRIM – J-CHANNEL PROFILE; JAMB & SILL CASING	EASYTRIM, ENGAGE BUILDING PRODUCTS	MATCH ADJACENT PANEL COLOR	COORDINATE WITH EXTERIOR ELEVATION AND DETAIL DRAWINGS (A4 SERIES)	
