MARK	DESCRIPTION	MANUFACTURER	CONTACT	NAME	PRODUCT #	COLOR	FINISH	SIZE	REMARKS
PT-1	PAINT	BENJAMIN MOORE		INTERIOR PAINT	OC-65	CHANTILLY LACE			
PT-1B	PAINT	BENJAMIN MOORE			OC-65, CHANTILLY LACE	SEMI GLOSS		SATIN FINISH AT WALL	
PT-2	PAINT	BENJAMIN MOORE			OC-151, WHITE	SEMI GLOSS		SATIN FINISH AT WALL	
PT-3	PAINT	BENJAMIN MOORE			2129-30, BLUE NOTE				
PT-3B	PAINT	BENJAMIN MOORE			2129-30, BLUE NOTE	SEMI-GLOSS		SEMI-GLOSS FINISH AT TRIM	
PT-4	PAINT	BENJAMIN MOORE			2120-20, BLACK IRON				
CPT-1	CARPET	MOHAWK		NATURAL CREATION	PM494				CUSTOM CARPET
CPT-2	CARPET	CROSBY STREET STUDIO	TONY MOTT, TM@crosbystreetstudios.com, 917.825.6853	CUSTOM BROADLOOM CARPET, INFINITY LOOM, 36 OZ. QUALITY				CUSTOM CARPET	
CPT-3	CARPET	CROSBY STREET STUDIO		CUSTOM BROADLOOM CARPET, COLORPOINT LOOM, 36 OZ. QUALITY		GENESIS SDN YARN W/ AX BACKING		CUSTOM CARPET INLAY AT CORRIDORS	
CPT-4	CARPET	CROSBY STREET STUDIO		CUSTOM BROADLOOM CARPET, COLORPOINT LOOM, 36 OZ. QUALITY		AS COLORS, TBD WITH MAJOR		CUSTOM CARPET INLAY AT ELEV LOBBIES	
LVT-1	LUXURY VINYL TILE	MOHAWK		WESTWARD 4.5	WWV45	CARLSBAD 014			
CT-1	CERAMIC/PORCELAIN TILE	NEMO TILE & STONE		ALTA BLACK 36N MATTE 12x24	IMO112240	BLACK MATTE		FLOOR TILE	
CT-2	CERAMIC/PORCELAIN TILE	NEMO TILE & STONE		ALTA BLACK BULLNOSE MATTE 3x24	IMO31224Q	BLACK MATTE		FLOOR, BASE MOLDING	
CT-3	CERAMIC/PORCELAIN TILE	DDS TILE		MADRAS QUILL		DECO IVORY GLOSSY		SHOWER, GROUT THICKNESS TO MATCH SPACING ON TILE. SEE FINISH LEGEND NOTE #6	
CT-4	CERAMIC/PORCELAIN TILE	DDS TILE		KERA TRANSPARENT WALL 4x7		TIGHT GREY GLOSSY		KITCHEN BACKSPLASH	
FT-1	FLOOR TRANSITION	SCHLUTER		VINPRO S		SATIN ANODIZED		LVT TO TILE	
FT-2	FLOOR TRANSITION	SCHLUTER		VINPRO S		SATIN ANODIZED		CARPET TO TILE	
FT-3	FLOOR TRANSITION	SCHLUTER		VINPRO S		SATIN ANODIZED		LVT TO CARPET	
FT-4	FLOOR TRANSITION	SCHLUTER		STONE SADDLE		BLACK GRANITE		UNIT ENTRY	
TOP-1	COUNTERTOP	COSENTINO		SILESTONE		MIAMI WHITE		NOTE 4 (SEE FINISH LEGEND NOTES)	
TOP-2	COUNTERTOP	COSENTINO		SILESTONE		MIAMI WHITE		BACK & SIDE SPLASH - 4" H. NOTE 4 (SEE FINISH LEGEND NOTES)	
CW-1	CASEWORK	TAFISA		PRELUDE - KARISMA - SHEER BEAUTY	L58	I	OAK NATURAL BLONDE		KITCHEN CABINETS & SHELVING (UPPER), NOTE 5 (SEE FINISH LEGEND NOTES)
CW-2	CASEWORK			SHAKER STYLE		BM RIVER ROCK MATTE		KITCHEN CABINETS (BASE) & BATH CABINETS, NOTE 5 (SEE FINISH LEGEND NOTES)	
WB-1	TRIM	SCHLUTER		JOLLY			MATE WHITE		TILE TO GYPSUM
BB-1	TRIM			WOOD BASEBOARD PROFILE X	PT-1B			4" H x 3/4" THICK	
BB-2	TRIM			WOOD BASEBOARD PROFILE 1x6 S45	PT-3B			5 1/2" H x 3/4" THICK	
BB-3	TRIM			WOOD CASING PROFILE M4452 SANITARY CASING	PT-3B			2 1/2" W x 11/16" THICK	
BB-4	TRIM			WOOD CASING PROFILE X	PT-3B			6" H x 3/4" THICK	
CB-1	TRIM			WOOD BASEBOARD PROFILE X	PT-3B			3" W x 3/4" THICK	
CB-2	TRIM			WOOD CASING PROFILE X	PT-3B			2 1/2" W x 3/4" THICK	
CB-3	TRIM			WOOD BATTEN PROFILE X	PT-3B			1 1/2" H x 3/4" THICK	
WB-2	TRIM			WOOD WALL TRIM PROFILE 1x4 S45	PT-3B			3 1/2" H x 3/4" THICK	
RT-1	RUBBER TILE	TARKETT		JOHNSONITE COLLECTIONS		BLACK		4" / 4" H	
RT-2	RUBBER STAIR MANAGEMENT	TARKETT		JOHNSONITE COLOR SPLASH TILE		CAPE HATTERAS			
