TAG	ROOM	ITEM DESCRIPTION	MANUFACTURER	DESCRIPTION	COLOR	PRODUCT ID
AC-01	Kitchen & Bathrooms	Cabinet Hardware	Richelieu	Contemporary steel pull – 305 mm (≈ 12")	Black	BP305712900
AC-02	Bathroom	Towel Bar	Kohler	Elate towel bar matte black	Black	27297-BL (24")
AC-03	Bathroom	Towel Arm	Kohler	Elate towel arm matte black	Black	27291-BL
AC-04	Bathroom	Shower Rod	Kohler	Expanse curved shower rod – contemporary matte black	Black	9351-BL
AC-05	Bathroom	Shower Corner Shelf	Daltile	5" corner shelf with flat back	White	QAM5511P
AC-06	Bathroom	Toilet Paper Holder	Kohler	Elate toilet roll holder matte black	Black	27298-BL
AC-07	Bathroom	Robe Hook	Kohler	Elate robe hook matte black	Black	27290-BL
AC-08	Bathroom	Medicine Cabinet – Single Door	Meek Mirrors	Model MC-08	—	MC08
AC-08.1	Bathroom	Mirror	Meek Mirrors	Mirror style to match AC-08	Black	—
AC-09	Bathroom	Medicine Cabinet – Double Door	Meek Mirrors	Model MC-09	—	MC09
AC-09.1	Bathroom	Mirror	Meek Mirrors	Mirror style to match AC-09	Black	—
AC-10	Bathroom	Bathroom Shelf	Cascade Iron Co.	Picture ledge shelf 22"	Black	—
AC-11	Residential Closets	Closet System	Closet Maid	—	White	—
AC-12	Residential Units	Roller Shades	—	—	—	—
AC-13	Bathroom	Shower Doors	—	—	Black	—
