CODE	MATERIAL	TYPE	GLAZING	SIZE	DETAIL	MAT	INST	TOTAL		
3000	Wood	double hung	std. glass	"2'-8"" x 4'-6"""		485	300	785		
3050	Wood	double hung	std. glass	"3'-0"" x 5'-6"""		455	350	805		
3100	Wood	double hung	insul. glass	"2'-8"" x 4'-6"""		370	300	670		
3150	Wood	double hung	insul. glass	"3'-0"" x 5'-6"""		500	350	850		
3200	Wood	sliding	std. glass	"3'-4"" x 2'-7"""		530	252	782		
3250	Wood	sliding	std. glass	"4'-4"" x 3'-3"""		535	276	811		
3300	Wood	sliding	std. glass	"5'-4"" x 6'-0"""		680	330	"1,010"		
3350	Wood	sliding	insul. glass	"3'-4"" x 2'-7"""		650	295	945		
3400	Wood	sliding	insul. glass	"4'-4"" x 3'-3"""		650	320	970		
3450	Wood	sliding	insul. glass	"5'-4"" x 6'-0"""		820	380	"1,200"		
3500	Wood	awning	std. glass	"2'-10"" x 1'-9"""		380	151	531		
3600	Wood	awning	std. glass	"4'-4"" x 2'-8"""		570	147	717		
3700	Wood	awning	insul. glass	"2'-10"" x 1'-9"""		460	175	635		
3800	Wood	awning	insul. glass	"4'-4"" x 2'-8"""		695	161	856		
3900	Wood	casement	std. glass	"1'-10"" x 3'-2"""	1 lite	470	200	670		
3950	Wood	casement	std. glass	"4'-2"" x 4'-2"""	2 lite	835	265	"1,100"		
4000	Wood	casement	std. glass	"5'-11"" x 5'-2"""	3 lite	"1,375"	340	"1,715"		
4050	Wood	casement	std. glass	"7'-11"" x 6'-3"""	4 lite	"2,000"	410	"2,410"		
4100	Wood	casement	std. glass	"9'-11"" x 6'-3"""	5 lite	"2,600"	475	"3,075"		
4150	Wood	casement	insul. glass	"1'-10"" x 3'-2"""	1 lite	470	200	670		
4200	Wood	casement	insul. glass	"4'-2"" x 4'-2"""	2 lite	955	265	"1,220"		
4250	Wood	casement	insul. glass	"5'-11"" x 5'-2"""	3 lite	"1,450"	340	"1,790"		
4300	Wood	casement	insul. glass	"7'-11"" x 6'-3"""	4 lite	"2,100"	410	"2,510"		
4350	Wood	casement	insul. glass	"9'-11"" x 6'-3"""	5 lite	"2,550"	475	"3,025"		
4400	Wood	picture	std. glass	"4'-6"" x 4'-6"""		740	340	"1,080"		
4450	Wood	picture	std. glass	"5'-8"" x 4'-6"""		830	380	"1,210"		
4500	Wood	picture	insul. glass	"4'-6"" x 4'-6"""		900	395	"1,295"		
4550	Wood	picture	insul. glass	"5'-8"" x 4'-6"""		"1,000"	440	"1,440"		
4600	Wood	fixed bay	std. glass	8' x 5'		"2,275"	625	"2,900"		
4650	Wood	fixed bay	std. glass	"9'-9"" x 5'-4"""		"1,625"	885	"2,510"		
4700	Wood	fixed bay	insul. glass	8' x 5'		"2,875"	625	"3,500"		
4750	Wood	fixed bay	insul. glass	"9'-9"" x 5'-4"""		"1,775"	885	"2,660"		
4800	Wood	casement bay	std. glass	8' x 5'		"2,325"	720	"3,045"		
4850	Wood	casement bay	insul. glass	8' x 5'		"2,575"	720	"3,295"		
4900	Wood	vert. bay	std. glass	8' x 5'		"2,575"	720	"3,295"		
4950	Wood	vert. bay	insul. glass	8' x 5'		"2,700"	720	"3,420"		
5000	Steel	double hung	"1/4"" tempered"	"2'-8"" x 4'-6"""		"1,075"	229	"1,304"		
5050	Steel	double hung	"1/4"" tempered"	"3'-4"" x 5'-6"""		"1,625"	350	"1,975"		
