Description	Unit	$ Cost	Description	Unit	$ Cost
Appliances					
Cooking range, 30" free standing					
1 oven	Ea.	885 - 1300	Closed Circuit Surveillance, One station		
2 oven	Ea.	3975 - 5050	Camera and monitor	Ea.	1250
30" built-in				For additional camera stations, add	Ea.	475
1 oven	Ea.	1550 - 3225	Elevators, Electric passenger, 5 stops		
2 oven	Ea.	3200 - 3775	2000# capacity	Ea.	213,000
Counter top cook tops, 4 burner	Ea.	480 - 860	3500# capacity	Ea.	220,500
Microwave oven	Ea.	375 - 895	5000# capacity	Ea.	229,000
Combination range, refrig. & sink, 30" wide	Ea.	2250 - 3325	Additional stop, add	Ea.	12,600
72" wide	Ea.	3650	Emergency Lighting, 25 watt, battery operated		
Combination range, refrigerator, sink,			Lead battery	Ea.	360
microwave oven & icemaker	Ea.	8600	Nickel cadmium	Ea.	585
Compactor, residential, 4-1 compaction	Ea.	1600 - 1875	Laundry Equipment		
Dishwasher, built-in, 2 cycles	Ea.	965 - 1900	Dryer, gas, 16 lb. capacity	Ea.	1725
4 cycles	Ea.	1150 - 1700	30 lb. capacity	Ea.	2200
Garbage disposer, sink type	Ea.	300 - 445	Washer, 4 cycle	Ea.	1550
Hood for range, 2 speed, vented, 30" wide	Ea.	425 - 1750	Commercial	Ea.	2000
42" wide	Ea.	495 - 730	Smoke Detectors		
Refrigerator, no frost 10-12 C.F.	Ea.	1000 - 855	Ceiling type	Ea.	300
18-20 C.F.	Ea.	960 - 1100	Duct type	Ea.	615
