CODE	DOOR SHAPE	Material	Core type	DESCRIPTION	DIMENSIONS	MAT.	INST.	TOTAL
2500	Single leaf	wood	solid core	birch	"3'-0""x7'-0""x1 3/8"""	970	261	"1,231"
2510	Single leaf	wood	Hollow core		"3'-0""x7'-0""x1 3/8"""	575	250	825
2530	Single leaf	wood	Hollow core	lauan	"3'-0""x7'-0""x1 3/8"""	545	250	795
2540	Single leaf	wood	Hollow core	Louvered pine	"3'-0""x7'-0""x1 3/8"""	790	250	"1,040"
2550	Single leaf	wood	Hollow core	Paneled pine	"3'-0""x7'-0""x1 3/8"""	735	250	985
2600	Single leaf	Metal 	Hollow core	"comm. quality, flush"	"3'-0""x7'-0""x1-3/8"""	885	274	"1,159"
2650	Single leaf	Metal	Hollow core	"comm. quality, flush, with panel"	"3'-0""x10'-0"""	"1,550"	355	"1,905"
2700	Single leaf	Metal fire	Hollow core	comm. quality	"3'-0""x7'-0""x1-3/8"""	"1,775"	285	"2,060"
3200	Double leaf	wood	Hollow core		"2 - 3'-0""x7'-0""x1-3/8"""	880	475	"1,355"
3300	Double leaf	Metal	Hollow core	"comm. quality, B label"	"2'-3'-0""x7'-0""x1-3/8"""	"3,400"	600	"4,000"
3400	Double leaf	Metal	Hollow core	"comm. quality, B label, with panel"	"6'-0""x10'-0"""	"2,950"	740	"3,690"
3500	Double swing door system			mill finish	"12'-0""x7'-0"""	"11,700"	"3,650"	"15,350"
3700	Double swing door system			Black finish	"12'-0""x7'-0"""	"11,800"	"3,775"	"15,575"
3800	Sliding entrance door and system			mill finish	"12'-0""x7'-0"""	"12,300"	"3,375"	"15,675"
3900	Sliding entrance door and system			Bronze finish	"12'-0""x7'-0"""	"13,400"	"3,625"	"17,025"
4000	Sliding entrance door and system			Black finish	"12'-0""x7'-0"""	"14,000"	"3,775"	"17,775"
4100	Sliding panel mall front			mill finish	16'x9'	"5,600"	"1,025"	"6,625"
4200	Sliding panel mall front			Bronze finish	16'x9'	"7,275"	"1,325"	"8,600"
4300	Sliding panel mall front			Black finish	16'x9'	"8,950"	"1,650"	"10,600"
4400	Sliding panel mall front			mill finish	24'x9'	"7,850"	"1,900"	"9,750"
4500	Sliding panel mall front			Bronze finish	24'x9'	"10,200"	"2,475"	"12,675"
4600	Sliding panel mall front			Black finish	24'x9'	"12,600"	"3,050"	"15,650"
4700	Sliding panel mall front			mill finish	48'x9'	"14,100"	"1,475"	"15,575"
4800	Sliding panel mall front			Bronze finish	48'x9'	"18,300"	"1,925"	"20,225"
4900	Sliding panel mall front			Black finish	48'x9'	"22,600"	"2,350"	"24,950"
5000	Rolling overhead			"steel door, manual"	8' x 8'	675	995	"1,670"
5100	Rolling overhead			"steel door, manual"	10' x 10'	995	"1,125"	"2,120"
5200	Rolling overhead			"steel door, manual"	20' x 10'	"3,000"	"1,600"	"4,600"
5300	Rolling overhead			"steel door, manual"	12' x 12'	"1,375"	"1,325"	"2,700"
5400	Rolling overhead			"steel door, Motor operated"	8' x 8'	"1,875"	"1,325"	"3,200"
5500	Rolling overhead			"steel door, Motor operated"	10' x 10'	"2,200"	"1,450"	"3,650"
5600	Rolling overhead			"steel door, Motor operated"	20' x 10'	"4,200"	"1,925"	"6,125"
5700	Rolling overhead			"steel door, Motor operated"	12' x 12'	"2,575"	"1,650"	"4,225"
5800	Roll up grille			"aluminum, manual, mill finish"	10' x 10'	"3,600"	"1,950"	"5,550"
5900	Roll up grille			"aluminum, manual, Bronze anodized"	10' x 10'	"6,550"	"1,950"	"8,500"
6000	Roll up grille			"aluminum, Motor operated, mill finish"	10' x 10'	"5,425"	"2,250"	"7,675"
6100	Roll up grille			"aluminum, Motor operated, Bronze anodized"	10' x 10'	"8,375"	"2,250"	"10,625"
6200	Roll up grille			"Steel, manual"	10' x 10'	"3,150"	"1,600"	"4,750"
6300	Roll up grille			"Steel, manual"	15' x 8'	"4,200"	"2,000"	"6,200"
6400	Roll up grille			"Steel, Motor operated"	10' x 10'	"4,975"	"1,925"	"6,900"
6500	Roll up grille			"Steel, Motor operated"	15' x 8'	"6,025"	"2,325"	"8,350"
8970	Counter door			"rolling, aluminum"	"6' high, 14' wide"	"4,225"	995	"5,220"
