MATERIAL_ID,MATERIAL_TYPE,ORIGINAL_CODE,ORIGINAL_COST,ALT_RANK,ALT_CODE,ALT_DESC,ALT_COST_TOTAL,COST_REDUCTION_PCT,FUNCTIONAL_SCORE,DESIGN_SCORE,COST_SCORE,QUANTITY,ALT_TOTAL_COST_TOTAL,ORIGINAL_TOTAL_COST,PRODUCT_BRAND,PRODUCT_MODEL,PRODUCT_NOTES
Refrigerator,Appliance,,927.5,0,ORIGINAL,Refrigerator (Original),927.5,0.0,5,5,1,164.0,152110.0,152110.0,Samsung,RF22A4121SR,10% bulk discount negotiated
Refrigerator,Appliance,,927.5,1,REDUCED,Refrigerator (10% discount),834.75,10.0,5,5,2,164.0,136899.0,152110.0,Samsung,RF22A4121SR,10% bulk discount negotiated
Microwave,Appliance,,635.0,0,ORIGINAL,Microwave (Original),635.0,0.0,5,5,1,164.0,104140.0,104140.0,Samsung,MS19M8000AS,10% bulk discount negotiated
Microwave,Appliance,,635.0,1,REDUCED,Microwave (10% discount),571.5,10.0,5,5,2,164.0,93726.0,104140.0,Samsung,MS19M8000AS,10% bulk discount negotiated
Range,Appliance,,2787.5,0,ORIGINAL,Range (Original),2787.5,0.0,5,5,1,164.0,457150.0,457150.0,Samsung,NE58R9430RS,10% bulk discount negotiated
Range,Appliance,,2787.5,1,REDUCED,Range (10% discount),2508.75,10.0,5,5,2,164.0,411435.0,457150.0,Samsung,NE58R9430RS,10% bulk discount negotiated
Dishwasher,Appliance,,1432.5,0,ORIGINAL,Dishwasher (Original),1432.5,0.0,5,5,1,164.0,234930.0,234930.0,Samsung,DW80CG4021SR,10% bulk discount negotiated
Dishwasher,Appliance,,1432.5,1,REDUCED,Dishwasher (10% discount),1289.25,10.0,5,5,2,164.0,211437.0,234930.0,Samsung,DW80CG4021SR,10% bulk discount negotiated
Washer,Appliance,,1432.5,0,ORIGINAL,Washer (Original),1432.5,0.0,5,5,1,4.0,5730.0,5730.0,Samsung,WF45T6000AW,10% bulk discount negotiated
Washer,Appliance,,1432.5,1,REDUCED,Washer (10% discount),1289.25,10.0,5,5,2,4.0,5157.0,5730.0,Samsung,WF45T6000AW,10% bulk discount negotiated
Dryer,Appliance,,1725.0,0,ORIGINAL,Dryer (Original),1725.0,0.0,5,5,1,4.0,6900.0,6900.0,Samsung,DVE45T6000W,10% bulk discount negotiated
Dryer,Appliance,,1725.0,1,REDUCED,Dryer (10% discount),1552.5,10.0,5,5,2,4.0,6210.0,6900.0,Samsung,DVE45T6000W,10% bulk discount negotiated
Range Hood,Appliance,,2787.5,0,ORIGINAL,Range Hood (Original),2787.5,0.0,5,5,1,4.0,11150.0,11150.0,Samsung,NE58R9430RS,10% bulk discount negotiated
Range Hood,Appliance,,2787.5,1,REDUCED,Range Hood (10% discount),2508.75,10.0,5,5,2,4.0,10035.0,11150.0,Samsung,NE58R9430RS,10% bulk discount negotiated
Microwave Trim Kit,Appliance,,635.0,0,ORIGINAL,Microwave Trim Kit (Original),635.0,0.0,5,5,1,4.0,2540.0,2540.0,Samsung,MS19M8000AS,10% bulk discount negotiated
Microwave Trim Kit,Appliance,,635.0,1,REDUCED,Microwave Trim Kit (10% discount),571.5,10.0,5,5,2,4.0,2286.0,2540.0,Samsung,MS19M8000AS,10% bulk discount negotiated
Refrigerator,Appliance,,927.5,0,ORIGINAL,Refrigerator (Original),927.5,0.0,5,5,1,164.0,152110.0,152110.0,Samsung,RF22A4121SR,10% bulk discount negotiated
Refrigerator,Appliance,,927.5,1,REDUCED,Refrigerator (10% discount),834.75,10.0,5,5,2,164.0,136899.0,152110.0,Samsung,RF22A4121SR,10% bulk discount negotiated
Microwave,Appliance,,635.0,0,ORIGINAL,Microwave (Original),635.0,0.0,5,5,1,164.0,104140.0,104140.0,Samsung,MS19M8000AS,10% bulk discount negotiated
Microwave,Appliance,,635.0,1,REDUCED,Microwave (10% discount),571.5,10.0,5,5,2,164.0,93726.0,104140.0,Samsung,MS19M8000AS,10% bulk discount negotiated
Range,Appliance,,2787.5,0,ORIGINAL,Range (Original),2787.5,0.0,5,5,1,164.0,457150.0,457150.0,Samsung,NE58R9430RS,10% bulk discount negotiated
Range,Appliance,,2787.5,1,REDUCED,Range (10% discount),2508.75,10.0,5,5,2,164.0,411435.0,457150.0,Samsung,NE58R9430RS,10% bulk discount negotiated
Dishwasher,Appliance,,1432.5,0,ORIGINAL,Dishwasher (Original),1432.5,0.0,5,5,1,164.0,234930.0,234930.0,Samsung,DW80CG4021SR,10% bulk discount negotiated
Dishwasher,Appliance,,1432.5,1,REDUCED,Dishwasher (10% discount),1289.25,10.0,5,5,2,164.0,211437.0,234930.0,Samsung,DW80CG4021SR,10% bulk discount negotiated
Washer / Dryer,Appliance,,1432.5,0,ORIGINAL,Washer / Dryer (Original),1432.5,0.0,5,5,1,164.0,234930.0,234930.0,Samsung,WF45T6000AW,10% bulk discount negotiated
Washer / Dryer,Appliance,,1432.5,1,REDUCED,Washer / Dryer (10% discount),1289.25,10.0,5,5,2,164.0,211437.0,234930.0,Samsung,WF45T6000AW,10% bulk discount negotiated
