MATERIAL_ID,MATERIAL_TYPE,ORIGINAL_CODE,ORIGINAL_COST,ALT_RANK,ALT_CODE,ALT_DESC,ALT_COST_MAT,ALT_COST_INST,ALT_COST_TOTAL,COST_REDUCTION_PCT,FUNCTIONAL_SCORE,DESIGN_SCORE,COST_SCORE
1,Interior Door,2500,1231.0,0,2500, ,970,261.0,1231.0,0.0,5,5,1
1,Interior Door,2500,1231.0,1,2530, ,545,250.0,795.0,35.41835905767668,3,3,5
1,Interior Door,2500,1231.0,2,2510, ,575,250.0,825.0,32.98131600324939,3,3,5
1,Interior Door,2500,1231.0,3,2550, ,735,250.0,985.0,19.983753046303818,3,3,3
2,Exterior Door,5800,14800.0,0,5800,St. Stl. & glass balanced,13000,1800.0,14800.0,0.0,5,5,1
2,Exterior Door,5800,14800.0,1,6200,Alum. & Fbrgls. overhead,2975,930.0,3905.0,73.61486486486486,3,3,5
2,Exterior Door,5800,14800.0,2,8300,Alum. & glass sliding patio,4975,465.0,5440.0,63.24324324324324,4,4,5
2,Exterior Door,5800,14800.0,3,6250,Alum. & Fbrgls. overhead,4225,1275.0,5500.0,62.83783783783784,3,3,5
3,Interior Door,2500,1231.0,0,2500, ,970,261.0,1231.0,0.0,5,5,1
3,Interior Door,2500,1231.0,1,2530, ,545,250.0,795.0,35.41835905767668,3,3,5
3,Interior Door,2500,1231.0,2,2510, ,575,250.0,825.0,32.98131600324939,3,3,5
3,Interior Door,2500,1231.0,3,2550, ,735,250.0,985.0,19.983753046303818,3,3,3
4,Interior Door,2500,1231.0,0,2500, ,970,261.0,1231.0,0.0,5,5,1
4,Interior Door,2500,1231.0,1,2530, ,545,250.0,795.0,35.41835905767668,3,3,5
4,Interior Door,2500,1231.0,2,2510, ,575,250.0,825.0,32.98131600324939,3,3,5
4,Interior Door,2500,1231.0,3,2550, ,735,250.0,985.0,19.983753046303818,3,3,3
6,Interior Door,2500,1231.0,0,2500, ,970,261.0,1231.0,0.0,5,5,1
6,Interior Door,2500,1231.0,1,2530, ,545,250.0,795.0,35.41835905767668,3,3,5
6,Interior Door,2500,1231.0,2,2510, ,575,250.0,825.0,32.98131600324939,3,3,5
6,Interior Door,2500,1231.0,3,2550, ,735,250.0,985.0,19.983753046303818,3,3,3
7,Interior Door,2500,1231.0,0,2500, ,970,261.0,1231.0,0.0,5,5,1
7,Interior Door,2500,1231.0,1,2530, ,545,250.0,795.0,35.41835905767668,3,3,5
7,Interior Door,2500,1231.0,2,2510, ,575,250.0,825.0,32.98131600324939,3,3,5
7,Interior Door,2500,1231.0,3,2550, ,735,250.0,985.0,19.983753046303818,3,3,3
9,Interior Door,2500,1231.0,0,2500, ,970,261.0,1231.0,0.0,5,5,1
9,Interior Door,2500,1231.0,1,2530, ,545,250.0,795.0,35.41835905767668,3,3,5
9,Interior Door,2500,1231.0,2,2510, ,575,250.0,825.0,32.98131600324939,3,3,5
9,Interior Door,2500,1231.0,3,2550, ,735,250.0,985.0,19.983753046303818,3,3,3
10,Interior Door,2500,1231.0,0,2500, ,970,261.0,1231.0,0.0,5,5,1
10,Interior Door,2500,1231.0,1,2530, ,545,250.0,795.0,35.41835905767668,3,3,5
10,Interior Door,2500,1231.0,2,2510, ,575,250.0,825.0,32.98131600324939,3,3,5
10,Interior Door,2500,1231.0,3,2550, ,735,250.0,985.0,19.983753046303818,3,3,3
11,Interior Door,2500,1231.0,0,2500, ,970,261.0,1231.0,0.0,5,5,1
11,Interior Door,2500,1231.0,1,2530, ,545,250.0,795.0,35.41835905767668,3,3,5
11,Interior Door,2500,1231.0,2,2510, ,575,250.0,825.0,32.98131600324939,3,3,5
11,Interior Door,2500,1231.0,3,2550, ,735,250.0,985.0,19.983753046303818,3,3,3
12,Interior Door,2500,1231.0,0,2500, ,970,261.0,1231.0,0.0,5,5,1
12,Interior Door,2500,1231.0,1,2530, ,545,250.0,795.0,35.41835905767668,3,3,5
12,Interior Door,2500,1231.0,2,2510, ,575,250.0,825.0,32.98131600324939,3,3,5
12,Interior Door,2500,1231.0,3,2550, ,735,250.0,985.0,19.983753046303818,3,3,3
13,Interior Door,2500,1231.0,0,2500, ,970,261.0,1231.0,0.0,5,5,1
13,Interior Door,2500,1231.0,1,2530, ,545,250.0,795.0,35.41835905767668,3,3,5
13,Interior Door,2500,1231.0,2,2510, ,575,250.0,825.0,32.98131600324939,3,3,5
13,Interior Door,2500,1231.0,3,2550, ,735,250.0,985.0,19.983753046303818,3,3,3
14,Interior Door,2500,1231.0,0,2500, ,970,261.0,1231.0,0.0,5,5,1
14,Interior Door,2500,1231.0,1,2530, ,545,250.0,795.0,35.41835905767668,3,3,5
14,Interior Door,2500,1231.0,2,2510, ,575,250.0,825.0,32.98131600324939,3,3,5
14,Interior Door,2500,1231.0,3,2550, ,735,250.0,985.0,19.983753046303818,3,3,3
16,Interior Door,2500,1231.0,0,2500, ,970,261.0,1231.0,0.0,5,5,1
18,Interior Door,2500,1231.0,0,2500, ,970,261.0,1231.0,0.0,5,5,1
18,Interior Door,2500,1231.0,1,2530, ,545,250.0,795.0,35.41835905767668,3,3,5
18,Interior Door,2500,1231.0,2,2510, ,575,250.0,825.0,32.98131600324939,3,3,5
18,Interior Door,2500,1231.0,3,2550, ,735,250.0,985.0,19.983753046303818,3,3,3
20,Interior Door,2500,1231.0,0,2500, ,970,261.0,1231.0,0.0,5,5,1
20,Interior Door,2500,1231.0,1,2530, ,545,250.0,795.0,35.41835905767668,3,3,5
20,Interior Door,2500,1231.0,2,2510, ,575,250.0,825.0,32.98131600324939,3,3,5
20,Interior Door,2500,1231.0,3,2550, ,735,250.0,985.0,19.983753046303818,3,3,3
21,Exterior Door,5800,14800.0,0,5800,St. Stl. & glass balanced,13000,1800.0,14800.0,0.0,5,5,1
21,Exterior Door,5800,14800.0,1,6200,Alum. & Fbrgls. overhead,2975,930.0,3905.0,73.61486486486486,3,3,5
21,Exterior Door,5800,14800.0,2,8300,Alum. & glass sliding patio,4975,465.0,5440.0,63.24324324324324,4,4,5
21,Exterior Door,5800,14800.0,3,6250,Alum. & Fbrgls. overhead,4225,1275.0,5500.0,62.83783783783784,3,3,5
22,Exterior Door,5800,14800.0,0,5800,St. Stl. & glass balanced,13000,1800.0,14800.0,0.0,5,5,1
22,Exterior Door,5800,14800.0,1,6200,Alum. & Fbrgls. overhead,2975,930.0,3905.0,73.61486486486486,3,3,5
22,Exterior Door,5800,14800.0,2,8300,Alum. & glass sliding patio,4975,465.0,5440.0,63.24324324324324,4,4,5
